"query" "significant" "p_value" "term_size" "query_size" "intersection_size" "precision" "recall" "term_id" "source" "term_name" "effective_domain_size" "source_order" "evidence_codes" "intersection"
"query_1" TRUE 0.00427711491634705 467 66 8 0.121212121212121 0.0171306209850107 "HP:0001260" "HP" "Dysarthria" 33605 962 "HP,HP,HP,HP,HP,HP,HP,HP" "ENSG00000066322,ENSG00000176225,ENSG00000147475,ENSG00000108001,ENSG00000124587,ENSG00000162377,ENSG00000124788,ENSG00000125741"
"query_1" TRUE 0.0261689015563072 4 66 2 0.0303030303030303 0.5 "HP:0007263" "HP" "Spinocerebellar atrophy" 33605 4679 "HP,HP" "ENSG00000124587,ENSG00000124788"
"query_1" TRUE 0.0333303463260814 302 66 6 0.0909090909090909 0.0198675496688742 "HP:0001272" "HP" "Cerebellar atrophy" 33605 972 "HP,HP,HP,HP,HP,HP" "ENSG00000176225,ENSG00000108001,ENSG00000124587,ENSG00000162377,ENSG00000124788,ENSG00000125741"
"query_1" TRUE 0.00122298139319037 2199 66 16 0.242424242424242 0.00727603456116417 "HPA:0080122" "HPA" "caudate; glial cells[≥Medium]" 33605 53 "Supported,Enhanced,Approved,Supported,Supported,Approved,Approved,Approved,Enhanced,Enhanced,Approved,Approved,Approved,Approved,Supported,Approved" "ENSG00000103479,ENSG00000079691,ENSG00000116833,ENSG00000139613,ENSG00000147475,ENSG00000107771,ENSG00000100030,ENSG00000172554,ENSG00000164050,ENSG00000060237,ENSG00000153107,ENSG00000168397,ENSG00000197321,ENSG00000124788,ENSG00000067082,ENSG00000150760"
"query_1" TRUE 0.00316556327155505 4919 66 24 0.363636363636364 0.00487904045537711 "HPA:0030071" "HPA" "appendix; lymphoid tissue[≥Low]" 33605 26 "Supported,Enhanced,Enhanced,Approved,Supported,Supported,Approved,Approved,Approved,Approved,Approved,Enhanced,Enhanced,Enhanced,Approved,Approved,Supported,Approved,Approved,Approved,Supported,Approved,Supported,Approved" "ENSG00000103479,ENSG00000079691,ENSG00000157470,ENSG00000116833,ENSG00000139613,ENSG00000147475,ENSG00000107771,ENSG00000100030,ENSG00000172554,ENSG00000214357,ENSG00000112297,ENSG00000164050,ENSG00000060237,ENSG00000129173,ENSG00000153107,ENSG00000171940,ENSG00000124587,ENSG00000168397,ENSG00000162377,ENSG00000197321,ENSG00000169429,ENSG00000124788,ENSG00000067082,ENSG00000250317"
"query_1" TRUE 0.0043335214423691 3977 66 21 0.318181818181818 0.00528036208197134 "HPA:0250121" "HPA" "hippocampus; glial cells[≥Low]" 33605 204 "Supported,Enhanced,Approved,Approved,Supported,Supported,Approved,Approved,Approved,Approved,Enhanced,Enhanced,Approved,Approved,Approved,Approved,Enhanced,Approved,Supported,Approved,Approved" "ENSG00000103479,ENSG00000079691,ENSG00000066322,ENSG00000116833,ENSG00000139613,ENSG00000147475,ENSG00000107771,ENSG00000137251,ENSG00000100030,ENSG00000172554,ENSG00000164050,ENSG00000060237,ENSG00000153107,ENSG00000171940,ENSG00000168397,ENSG00000197321,ENSG00000182667,ENSG00000124788,ENSG00000067082,ENSG00000250317,ENSG00000150760"
"query_1" TRUE 0.0048026257067965 1900 66 14 0.212121212121212 0.00736842105263158 "HPA:0250122" "HPA" "hippocampus; glial cells[≥Medium]" 33605 205 "Supported,Enhanced,Approved,Approved,Supported,Supported,Approved,Approved,Enhanced,Approved,Approved,Approved,Approved,Supported" "ENSG00000103479,ENSG00000079691,ENSG00000066322,ENSG00000116833,ENSG00000139613,ENSG00000147475,ENSG00000100030,ENSG00000172554,ENSG00000060237,ENSG00000153107,ENSG00000168397,ENSG00000197321,ENSG00000124788,ENSG00000067082"
"query_1" TRUE 0.00564487052065895 6583 66 28 0.424242424242424 0.00425337991797053 "HPA:0250000" "HPA" "hippocampus" 33605 203 "Supported,Enhanced,Enhanced,Approved,Approved,Supported,Supported,Approved,Approved,Approved,Approved,Approved,Approved,Enhanced,Enhanced,Enhanced,Approved,Approved,Supported,Approved,Approved,Approved,Enhanced,Approved,Supported,Approved,Approved,Approved" "ENSG00000103479,ENSG00000079691,ENSG00000157470,ENSG00000066322,ENSG00000116833,ENSG00000139613,ENSG00000147475,ENSG00000107771,ENSG00000137251,ENSG00000100030,ENSG00000172554,ENSG00000214357,ENSG00000112297,ENSG00000164050,ENSG00000060237,ENSG00000129173,ENSG00000153107,ENSG00000171940,ENSG00000124587,ENSG00000168397,ENSG00000162377,ENSG00000197321,ENSG00000182667,ENSG00000124788,ENSG00000067082,ENSG00000250317,ENSG00000150760,ENSG00000144535"
"query_1" TRUE 0.00582696242103727 4394 66 22 0.333333333333333 0.00500682749203459 "HPA:0080121" "HPA" "caudate; glial cells[≥Low]" 33605 52 "Supported,Enhanced,Approved,Supported,Supported,Approved,Approved,Approved,Approved,Approved,Enhanced,Enhanced,Approved,Supported,Approved,Approved,Enhanced,Approved,Supported,Approved,Approved,Approved" "ENSG00000103479,ENSG00000079691,ENSG00000116833,ENSG00000139613,ENSG00000147475,ENSG00000107771,ENSG00000137251,ENSG00000100030,ENSG00000172554,ENSG00000112297,ENSG00000164050,ENSG00000060237,ENSG00000153107,ENSG00000124587,ENSG00000168397,ENSG00000197321,ENSG00000182667,ENSG00000124788,ENSG00000067082,ENSG00000250317,ENSG00000150760,ENSG00000144535"
"query_1" TRUE 0.00780415202080256 2549 66 16 0.242424242424242 0.00627697136131816 "HPA:0100122" "HPA" "cerebral cortex; glial cells[≥Medium]" 33605 91 "Supported,Enhanced,Approved,Supported,Supported,Approved,Approved,Approved,Enhanced,Enhanced,Supported,Approved,Approved,Approved,Supported,Approved" "ENSG00000103479,ENSG00000079691,ENSG00000116833,ENSG00000139613,ENSG00000147475,ENSG00000100030,ENSG00000172554,ENSG00000214357,ENSG00000164050,ENSG00000060237,ENSG00000124587,ENSG00000168397,ENSG00000197321,ENSG00000124788,ENSG00000067082,ENSG00000250317"
"query_1" TRUE 0.00865560814164397 5960 66 26 0.393939393939394 0.00436241610738255 "HPA:0460661" "HPA" "skin 1; keratinocytes[≥Low]" 33605 366 "Supported,Enhanced,Approved,Approved,Supported,Supported,Approved,Approved,Approved,Approved,Approved,Enhanced,Enhanced,Enhanced,Approved,Approved,Supported,Approved,Approved,Approved,Enhanced,Approved,Supported,Approved,Approved,Approved" "ENSG00000103479,ENSG00000079691,ENSG00000066322,ENSG00000116833,ENSG00000139613,ENSG00000147475,ENSG00000107771,ENSG00000100030,ENSG00000172554,ENSG00000214357,ENSG00000112297,ENSG00000164050,ENSG00000060237,ENSG00000129173,ENSG00000153107,ENSG00000171940,ENSG00000124587,ENSG00000168397,ENSG00000162377,ENSG00000197321,ENSG00000182667,ENSG00000124788,ENSG00000067082,ENSG00000250317,ENSG00000150760,ENSG00000144535"
"query_1" TRUE 0.0105199013519578 1270 66 11 0.166666666666667 0.00866141732283465 "HPA:0050053" "HPA" "breast; glandular cells[High]" 33605 39 "Approved,Approved,Supported,Supported,Approved,Approved,Approved,Approved,Approved,Supported,Approved" "ENSG00000066322,ENSG00000116833,ENSG00000139613,ENSG00000147475,ENSG00000100030,ENSG00000112297,ENSG00000168397,ENSG00000162377,ENSG00000124788,ENSG00000067082,ENSG00000150760"
"query_1" TRUE 0.0115183013370891 6441 66 27 0.409090909090909 0.00419189566837448 "HPA:0190000" "HPA" "esophagus" 33605 161 "Supported,Enhanced,Enhanced,Approved,Approved,Supported,Supported,Approved,Approved,Approved,Approved,Approved,Enhanced,Enhanced,Enhanced,Approved,Approved,Supported,Approved,Approved,Approved,Supported,Approved,Supported,Approved,Approved,Approved" "ENSG00000103479,ENSG00000079691,ENSG00000157470,ENSG00000066322,ENSG00000116833,ENSG00000139613,ENSG00000147475,ENSG00000107771,ENSG00000100030,ENSG00000172554,ENSG00000214357,ENSG00000112297,ENSG00000164050,ENSG00000060237,ENSG00000129173,ENSG00000153107,ENSG00000171940,ENSG00000124587,ENSG00000168397,ENSG00000162377,ENSG00000197321,ENSG00000169429,ENSG00000124788,ENSG00000067082,ENSG00000250317,ENSG00000150760,ENSG00000144535"
